,date,player1,player2,daybefore,winrate
889,2021-03-27,Dove,ShowMaker,2021-03-26,40.9%
890,2021-03-26,Fate,Fly,2021-03-25,66.7%
891,2021-03-26,Fly,Fate,2021-03-25,33.3%
892,2021-03-26,BDD,SOLKA,2021-03-25,
893,2021-03-25,Dove,Bay,2021-03-24,
894,2021-03-25,Bay,Dove,2021-03-24,
895,2021-03-25,Chovy,Yaharong,2021-03-24,
896,2021-03-25,Yaharong,Chovy,2021-03-24,
897,2021-03-21,Faker,Fly,2021-03-20,64.7%
898,2021-03-21,Fly,Faker,2021-03-20,35.3%
899,2021-03-21,ShowMaker,SOLKA,2021-03-20,100%
900,2021-03-21,SOLKA,ShowMaker,2021-03-20,0%
901,2021-03-20,Dove,BDD,2021-03-19,57.1%
902,2021-03-20,BDD,Dove,2021-03-19,42.9%
903,2021-03-20,Lava,Fate,2021-03-19,50%
904,2021-03-20,Fate,Lava,2021-03-19,50%
905,2021-03-19,SOLKA,Faker,2021-03-18,66.7%
906,2021-03-19,Faker,SOLKA,2021-03-18,33.3%
907,2021-03-19,Bay,Fly,2021-03-18,33.3%
908,2021-03-19,Fly,Bay,2021-03-18,66.7%
909,2021-03-18,Ucal,Chovy,2021-03-17,45.2%
910,2021-03-18,Chovy,Ucal,2021-03-17,54.8%
911,2021-03-18,BDD,ShowMaker,2021-03-17,40.9%
912,2021-03-18,ShowMaker,BDD,2021-03-17,59.1%
913,2021-03-14,Bay,ShowMaker,2021-03-13,0%
914,2021-03-14,ShowMaker,Bay,2021-03-13,100%
915,2021-03-14,Fate,Chovy,2021-03-13,50%
916,2021-03-14,Chovy,Fate,2021-03-13,50%
917,2021-03-13,Fly,Yaharong,2021-03-12,
918,2021-03-13,Yaharong,Fly,2021-03-12,
919,2021-03-13,Faker,BDD,2021-03-12,51.8%
920,2021-03-13,BDD,Faker,2021-03-12,48.2%
921,2021-03-12,Bay,SOLKA,2021-03-11,50%
922,2021-03-12,SOLKA,Bay,2021-03-11,50%
923,2021-03-12,Fate,Ucal,2021-03-11,66.7%
924,2021-03-12,Ucal,Fate,2021-03-11,33.3%
925,2021-03-11,Chovy,Fly,2021-03-10,60%
926,2021-03-11,Fly,Chovy,2021-03-10,40%
927,2021-03-11,ShowMaker,Lava,2021-03-10,72.7%
928,2021-03-11,Yaharong,ShowMaker,2021-03-10,100%
929,2021-03-07,BDD,Chovy,2021-03-06,24.2%
930,2021-03-07,Chovy,BDD,2021-03-06,75.8%
931,2021-03-07,Yaharong,SOLKA,2021-03-06,
932,2021-03-07,SOLKA,Yaharong,2021-03-06,
933,2021-03-06,Dove,Clozer,2021-03-05,
934,2021-03-06,Clozer,Dove,2021-03-05,
935,2021-03-06,Fly,ShowMaker,2021-03-05,12.5%
936,2021-03-06,ShowMaker,Fly,2021-03-05,87.5%
937,2021-03-05,Fate,BDD,2021-03-04,11.1%
938,2021-03-05,BDD,Fate,2021-03-04,88.9%
939,2021-03-05,Bay,Chovy,2021-03-04,33.3%
940,2021-03-05,Chovy,Bay,2021-03-04,66.7%
941,2021-03-04,Clozer,Yaharong,2021-03-03,
942,2021-03-04,Yaharong,Clozer,2021-03-03,
943,2021-03-04,Ucal,SOLKA,2021-03-03,100%
944,2021-03-04,SOLKA,Ucal,2021-03-03,0%
945,2021-02-28,Bay,Fate,2021-02-27,71.4%
946,2021-02-28,Fate,Bay,2021-02-27,28.6%
947,2021-02-28,BDD,Fly,2021-02-27,54.8%
948,2021-02-28,Fly,BDD,2021-02-27,41.9%
949,2021-02-27,Clozer,ShowMaker,2021-02-26,0%
950,2021-02-27,ShowMaker,Clozer,2021-02-26,100%
951,2021-02-27,Chovy,SOLKA,2021-02-26,66.7%
952,2021-02-27,SOLKA,Chovy,2021-02-26,50%
953,2021-02-26,Ucal,Fly,2021-02-25,50%
954,2021-02-26,Fly,Dove,2021-02-25,58.8%
955,2021-02-26,BDD,Lava,2021-02-25,60.9%
956,2021-02-26,Lava,BDD,2021-02-25,39.1%
957,2021-02-25,Fate,ShowMaker,2021-02-24,10%
958,2021-02-25,ShowMaker,Fate,2021-02-24,90%
959,2021-02-25,Clozer,Bay,2021-02-24,
960,2021-02-25,Bay,Clozer,2021-02-24,
961,2021-02-21,Clozer,Fate,2021-02-20,100%
962,2021-02-21,Fate,Clozer,2021-02-20,0%
963,2021-02-21,Fly,SOLKA,2021-02-20,33.3%
964,2021-02-21,SOLKA,Fly,2021-02-20,66.7%
965,2021-02-20,Chovy,ShowMaker,2021-02-19,52.5%
966,2021-02-20,ShowMaker,Chovy,2021-02-19,47.5%
967,2021-02-20,BDD,Bay,2021-02-19,100%
968,2021-02-20,Bay,BDD,2021-02-19,0%
969,2021-02-19,Lava,Dove,2021-02-18,16.7%
970,2021-02-19,Dove,Lava,2021-02-18,83.3%
971,2021-02-19,SOLKA,Faker,2021-02-18,
972,2021-02-19,Faker,SOLKA,2021-02-18,
973,2021-02-18,BDD,Fly,2021-02-17,51.7%
974,2021-02-18,Fly,BDD,2021-02-17,44.8%
975,2021-02-18,Bay,Chovy,2021-02-17,
976,2021-02-18,Chovy,Bay,2021-02-17,
977,2021-02-17,Fate,Lava,2021-02-16,100%
978,2021-02-17,Lava,Fate,2021-02-16,0%
979,2021-02-17,Ucal,ShowMaker,2021-02-16,41.7%
980,2021-02-17,ShowMaker,Ucal,2021-02-16,58.3%
981,2021-02-07,SOLKA,ShowMaker,2021-02-06,0%
982,2021-02-07,ShowMaker,SOLKA,2021-02-06,100%
983,2021-02-07,Fate,Chovy,2021-02-06,0%
984,2021-02-07,Chovy,Fate,2021-02-06,100%
985,2021-02-06,Ucal,Fly,2021-02-05,50%
986,2021-02-06,Fly,Ucal,2021-02-05,50%
987,2021-02-06,Dove,Fly,2021-02-05,37.5%
988,2021-02-06,Chieftain,Faker,2021-02-05,
989,2021-02-06,Faker,Chieftain,2021-02-05,
990,2021-02-05,Bay,BDD,2021-02-04,
991,2021-02-05,BDD,Bay,2021-02-04,
992,2021-02-05,ShowMaker,Fate,2021-02-04,87.5%
993,2021-02-05,Fate,ShowMaker,2021-02-04,12.5%
994,2021-02-04,Lava,Dove,2021-02-03,0%
995,2021-02-04,Dove,Lava,2021-02-03,100%
996,2021-02-04,Lava,Ucal,2021-02-03,38.5%
997,2021-02-04,Chovy,Fly,2021-02-03,59.1%
998,2021-02-04,Fly,Chovy,2021-02-03,40.9%
999,2021-02-03,Karis,SOLKA,2021-02-02,
1000,2021-02-03,SOLKA,Karis,2021-02-02,
1001,2021-02-03,Faker,Bay,2021-02-02,
1002,2021-02-03,Bay,Faker,2021-02-02,
1003,2021-01-31,Ucal,Bay,2021-01-30,0%
1004,2021-01-31,Bay,Ucal,2021-01-30,100%
1005,2021-01-31,Clozer,Fly,2021-01-30,66.7%
1006,2021-01-31,Fly,Clozer,2021-01-30,33.3%
1007,2021-01-30,BDD,Fate,2021-01-29,85.7%
1008,2021-01-30,Fate,BDD,2021-01-29,14.3%
1009,2021-01-30,Lava,SOLKA,2021-01-29,
1010,2021-01-30,SOLKA,Lava,2021-01-29,
1011,2021-01-29,Chovy,ShowMaker,2021-01-28,55.3%
1012,2021-01-29,ShowMaker,Chovy,2021-01-28,44.7%
1013,2021-01-29,Fly,Bay,2021-01-28,0%
1014,2021-01-29,Bay,Fly,2021-01-28,100%
1015,2021-01-28,Fate,Clozer,2021-01-27,0%
1016,2021-01-28,Clozer,Fate,2021-01-27,100%
1017,2021-01-28,Ucal,SOLKA,2021-01-27,
1018,2021-01-28,SOLKA,Ucal,2021-01-27,
1019,2021-01-27,ShowMaker,BDD,2021-01-26,57.9%
1020,2021-01-27,BDD,ShowMaker,2021-01-26,42.1%
1021,2021-01-27,Lava,Chovy,2021-01-26,25%
1022,2021-01-27,Chovy,Lava,2021-01-26,75%
1023,2021-01-24,BDD,Chovy,2021-01-23,23.3%
1024,2021-01-24,Chovy,BDD,2021-01-23,76.7%
1025,2021-01-24,Ucal,Clozer,2021-01-23,0%
1026,2021-01-24,Clozer,Ucal,2021-01-23,100%
1027,2021-01-23,Bay,Lava,2021-01-22,
1028,2021-01-23,Lava,Bay,2021-01-22,
1029,2021-01-23,ShowMaker,Fly,2021-01-22,85.7%
1030,2021-01-23,Fly,ShowMaker,2021-01-22,14.3%
1031,2021-01-22,SOLKA,Fate,2021-01-21,0%
1032,2021-01-22,Fate,SOLKA,2021-01-21,100%
1033,2021-01-22,Ucal,Chovy,2021-01-21,46.4%
1034,2021-01-22,Chovy,Ucal,2021-01-21,53.6%
1035,2021-01-21,Lava,ShowMaker,2021-01-20,11.1%
1036,2021-01-21,ShowMaker,Lava,2021-01-20,88.9%
1037,2021-01-21,Faker,BDD,2021-01-20,52.8%
1038,2021-01-21,BDD,Faker,2021-01-20,47.2%
1039,2021-01-20,SOLKA,Bay,2021-01-19,0%
1040,2021-01-20,Bay,SOLKA,2021-01-19,100%
1041,2021-01-20,Fly,Fate,2021-01-19,50%
1042,2021-01-20,Fate,Fly,2021-01-19,50%
1043,2021-01-17,Lava,Fly,2021-01-16,31.3%
1044,2021-01-17,Fly,Lava,2021-01-16,68.8%
1045,2021-01-17,ShowMaker,Bay,2021-01-16,100%
1046,2021-01-17,Bay,ShowMaker,2021-01-16,0%
1047,2021-01-16,Chovy,SOLKA,2021-01-15,66.7%
1048,2021-01-16,SOLKA,Chovy,2021-01-15,66.7%
1049,2021-01-16,Ucal,Fate,2021-01-15,0%
1050,2021-01-16,Fate,Ucal,2021-01-15,100%
1051,2021-01-15,ShowMaker,Faker,2021-01-14,60%
1052,2021-01-15,Faker,ShowMaker,2021-01-14,40%
1053,2021-01-15,BDD,Lava,2021-01-14,57.1%
1054,2021-01-15,Lava,BDD,2021-01-14,42.9%
1055,2021-01-14,SOLKA,Fly,2021-01-13,
1056,2021-01-14,Fly,SOLKA,2021-01-13,
1057,2021-01-14,Bay,Fate,2021-01-13,75%
1058,2021-01-14,Fate,Bay,2021-01-13,25%
1059,2021-01-13,Clozer,Chovy,2021-01-12,100%
1060,2021-01-13,Chovy,Clozer,2021-01-12,0%
1061,2021-01-13,Ucal,BDD,2021-01-12,25%
1062,2021-01-13,BDD,Ucal,2021-01-12,75%
1063,2021-08-29,Gumayusi,Ghost,2021-08-28,50%
1064,2021-08-29,Ghost,Teddy,2021-08-28,61.4%
1065,2021-08-22,Ruler,Teddy,2021-08-21,45.8%
1066,2021-08-22,Teddy,Ruler,2021-08-21,54.2%
1067,2021-08-21,deokdam,Ghost,2021-08-20,22.2%
1068,2021-08-21,Ghost,deokdam,2021-08-20,77.8%
1069,2021-08-19,Prince,Teddy,2021-08-18,50%
1070,2021-08-19,Teddy,Prince,2021-08-18,50%
1071,2021-08-18,Leo,deokdam,2021-08-17,40%
1072,2021-08-18,deokdam,Leo,2021-08-17,60%
1073,2021-08-15,Ruler,deokdam,2021-08-14,92.3%
1074,2021-08-15,Gumayusi,Deft,2021-08-14,66.7%
1075,2021-08-15,Deft,Gumayusi,2021-08-14,33.3%
1076,2021-08-14,Leo,5kid,2021-08-13,
1077,2021-08-14,5kid,Leo,2021-08-13,
1078,2021-08-14,Ghost,Prince,2021-08-13,100%
1079,2021-08-13,Taeyoon,deokdam,2021-08-12,
1080,2021-08-13,Ruler,Hena,2021-08-12,75%
1081,2021-08-13,Hena,Ruler,2021-08-12,25%
1082,2021-08-12,Prince,5kid,2021-08-11,
1083,2021-08-12,Deft,Leo,2021-08-11,40%
1084,2021-08-08,Taeyoon,Gumayusi,2021-08-07,
1085,2021-08-08,Gumayusi,Taeyoon,2021-08-07,
1086,2021-08-08,Ghost,Ruler,2021-08-07,43.2%
1087,2021-08-07,Prince,Hena,2021-08-06,50%
1088,2021-08-07,Hena,Prince,2021-08-06,50%
1089,2021-08-07,deokdam,Leo,2021-08-06,100%
1090,2021-08-06,Gumayusi,Ruler,2021-08-05,37.5%
1091,2021-08-06,Ruler,Gumayusi,2021-08-05,62.5%
1092,2021-08-06,Taeyoon,5kid,2021-08-05,
1093,2021-08-06,5kid,Taeyoon,2021-08-05,
1094,2021-08-05,Deft,Prince,2021-08-04,40%
1095,2021-08-05,Prince,Deft,2021-08-04,60%
1096,2021-08-05,Hena,Ghost,2021-08-04,50%
1097,2021-08-01,5kid,Ghost,2021-07-31,
1098,2021-08-01,Ghost,5kid,2021-07-31,
1099,2021-08-01,Deft,deokdam,2021-07-31,76.5%
1100,2021-08-01,deokdam,Deft,2021-07-31,23.5%
1101,2021-08-01,Gori,Deft,2021-07-31,33.3%
1102,2021-07-31,Leo,Taeyoon,2021-07-30,
1103,2021-07-31,Taeyoon,Leo,2021-07-30,
1104,2021-07-31,Gumayusi,Hena,2021-07-30,50%
1105,2021-07-31,Hena,Gumayusi,2021-07-30,50%
1106,2021-07-30,5kid,Ruler,2021-07-29,
1107,2021-07-30,deokdam,Prince,2021-07-29,80%
1108,2021-07-30,Prince,deokdam,2021-07-29,20%
1109,2021-07-29,Deft,Taeyoon,2021-07-28,
1110,2021-07-29,Taeyoon,Deft,2021-07-28,
1111,2021-07-29,Ghost,Leo,2021-07-28,66.7%
1112,2021-07-29,Leo,Ghost,2021-07-28,33.3%
1113,2021-07-25,Deft,Hena,2021-07-24,75%
1114,2021-07-25,Hena,Deft,2021-07-24,25%
1115,2021-07-25,Ruler,Leo,2021-07-24,100%
1116,2021-07-25,Leo,Ruler,2021-07-24,0%
1117,2021-07-24,Gumayusi,Prince,2021-07-23,
1118,2021-07-24,Taeyoon,Ghost,2021-07-23,
1119,2021-07-24,Ghost,Taeyoon,2021-07-23,
1120,2021-07-23,deokdam,Hena,2021-07-22,66.7%
1121,2021-07-23,Hena,deokdam,2021-07-22,33.3%
1122,2021-07-23,Deft,5kid,2021-07-22,
1123,2021-07-22,Gumayusi,Leo,2021-07-21,
1124,2021-07-22,Leo,Gumayusi,2021-07-21,
1125,2021-07-22,Prince,Ruler,2021-07-21,60%
1126,2021-07-22,Ruler,Prince,2021-07-21,40%
1127,2021-07-18,deokdam,Noah,2021-07-17,57.1%
1128,2021-07-18,Hena,Taeyoon,2021-07-17,33.3%
1129,2021-07-18,Taeyoon,Hena,2021-07-17,66.7%
1130,2021-07-17,Gumayusi,Ghost,2021-07-16,33.3%
1131,2021-07-17,Ruler,Deft,2021-07-16,41.5%
1132,2021-07-17,Deft,Ruler,2021-07-16,58.5%
1133,2021-07-16,Taeyoon,Prince,2021-07-15,
1134,2021-07-16,Leo,Hena,2021-07-15,66.7%
1135,2021-07-16,Hena,Leo,2021-07-15,33.3%
1136,2021-07-15,Ghost,deokdam,2021-07-14,86.7%
1137,2021-07-15,Noah,Gumayusi,2021-07-14,
1138,2021-07-11,Gumayusi,deokdam,2021-07-10,100%
1139,2021-07-11,deokdam,Gumayusi,2021-07-10,0%
1140,2021-07-11,Taeyoon,Ruler,2021-07-10,
1141,2021-07-10,Deft,Ghost,2021-07-09,51.6%
1142,2021-07-10,Hena,Noah,2021-07-09,0%
1143,2021-07-10,Noah,Hena,2021-07-09,100%
1144,2021-07-10,Hena,Harp,2021-07-09,0%
1145,2021-07-09,Leo,Prince,2021-07-08,33.3%
1146,2021-07-09,Prince,Leo,2021-07-08,66.7%
1147,2021-07-09,Gumayusi,Ruler,2021-07-08,16.7%
1148,2021-07-08,Taeyoon,Hena,2021-07-07,
1149,2021-07-08,Hena,Taeyoon,2021-07-07,
1150,2021-07-08,Deft,Noah,2021-07-07,100%
1151,2021-07-08,Noah,Deft,2021-07-07,0%
1152,2021-07-07,Leo,deokdam,2021-07-06,0%
1153,2021-07-07,Prince,Ghost,2021-07-06,0%
1154,2021-07-04,Ghost,Ruler,2021-07-03,40.5%
1155,2021-07-04,Ruler,Ghost,2021-07-03,59.5%
1156,2021-07-04,deokdam,Deft,2021-07-03,21.4%
1157,2021-07-04,Deft,deokdam,2021-07-03,78.6%
1158,2021-07-03,Prince,BAO,2021-07-02,66.7%
1159,2021-07-03,Teddy,Leo,2021-07-02,57.1%
1160,2021-07-03,Leo,Teddy,2021-07-02,42.9%
1161,2021-07-02,Noah,Hena,2021-07-01,100%
1162,2021-07-02,Hena,Noah,2021-07-01,0%
1163,2021-07-02,deokdam,Ghost,2021-07-01,0%
1164,2021-07-01,Prince,Leo,2021-06-30,
1165,2021-07-01,Leo,Prince,2021-06-30,
1166,2021-07-01,BAO,Deft,2021-06-30,20%
1167,2021-07-01,Deft,BAO,2021-06-30,80%
1168,2021-06-30,Hena,Ruler,2021-06-29,20%
1169,2021-06-30,Ruler,Hena,2021-06-29,80%
1170,2021-06-30,Noah,Teddy,2021-06-29,
1171,2021-06-30,Teddy,Noah,2021-06-29,
1172,2021-06-27,Noah,Prince,2021-06-26,
1173,2021-06-27,Prince,Noah,2021-06-26,
1174,2021-06-27,BAO,Teddy,2021-06-26,16.7%
1175,2021-06-26,deokdam,Hena,2021-06-25,100%
1176,2021-06-26,Leo,Ruler,2021-06-25,0%
1177,2021-06-25,Malrang,Deft,2021-06-24,7.7%
1178,2021-06-25,BAO,Noah,2021-06-24,
1179,2021-06-25,Noah,BAO,2021-06-24,
1180,2021-06-24,Teddy,deokdam,2021-06-23,62.5%
1181,2021-06-24,Prince,Ruler,2021-06-23,100%
1182,2021-06-23,Hena,Malrang,2021-06-22,
1183,2021-06-23,Malrang,Hena,2021-06-22,
1184,2021-06-23,Leo,Deft,2021-06-22,33.3%
1185,2021-06-23,Deft,Leo,2021-06-22,66.7%
1186,2021-06-20,Deft,Hena,2021-06-19,80%
1187,2021-06-20,Hena,Deft,2021-06-19,20%
1188,2021-06-20,Teddy,Prince,2021-06-19,100%
1189,2021-06-20,Prince,Teddy,2021-06-19,0%
1190,2021-06-19,Noah,Leo,2021-06-18,
1191,2021-06-19,Leo,Noah,2021-06-18,
1192,2021-06-19,BAO,Malrang,2021-06-18,0%
1193,2021-06-19,Malrang,BAO,2021-06-18,100%
1194,2021-06-18,deokdam,Ruler,2021-06-17,0%
1195,2021-06-18,Deft,Prince,2021-06-17,66.7%
1196,2021-06-18,Prince,Deft,2021-06-17,33.3%
1197,2021-06-17,Leo,Malrang,2021-06-16,
1198,2021-06-17,Malrang,Leo,2021-06-16,
1199,2021-06-17,Hena,Teddy,2021-06-16,
1200,2021-06-17,Teddy,Hena,2021-06-16,
1201,2021-06-16,Noah,Ruler,2021-06-15,33.3%
1202,2021-06-16,deokdam,BAO,2021-06-15,57.1%
1203,2021-06-16,BAO,deokdam,2021-06-15,42.9%
1204,2021-06-13,Leo,BAO,2021-06-12,33.3%
1205,2021-06-13,BAO,Leo,2021-06-12,66.7%
1206,2021-06-13,Ghost,Noah,2021-06-12,66.7%
1207,2021-06-13,Noah,Ghost,2021-06-12,33.3%
1208,2021-06-12,Deft,Ruler,2021-06-11,60.3%
1209,2021-06-12,Prince,deokdam,2021-06-11,0%
1210,2021-06-12,deokdam,Prince,2021-06-11,100%
1211,2021-06-11,Ghost,Teddy,2021-06-10,61%
1212,2021-06-11,Teddy,Ghost,2021-06-10,39%
1213,2021-06-11,Hena,Leo,2021-06-10,
1214,2021-06-11,Leo,Hena,2021-06-10,
1215,2021-06-10,Ruler,BAO,2021-06-09,50%
1216,2021-06-10,BAO,Ruler,2021-06-09,50%
1217,2021-06-10,Noah,deokdam,2021-06-09,50%
1218,2021-06-10,deokdam,Noah,2021-06-09,50%
1219,2021-06-09,Deft,Teddy,2021-06-08,48%
1220,2021-06-09,Teddy,Deft,2021-06-08,52%
1221,2021-06-09,Prince,Hena,2021-06-08,100%
1222,2021-06-09,Hena,Prince,2021-06-08,0%
1223,2021-04-11,Ruler,Ghost,2021-04-10,64.1%
1224,2021-04-11,Ghost,Ruler,2021-04-10,35.9%
1225,2021-04-04,Teddy,Ruler,2021-04-03,57.8%
1226,2021-04-04,Ruler,Teddy,2021-04-03,42.2%
1227,2021-04-03,Ghost,Deft,2021-04-02,45.8%
1228,2021-04-03,Deft,Ghost,2021-04-02,54.2%
1229,2021-04-01,BAO,Teddy,2021-03-31,0%
1230,2021-04-01,Teddy,BAO,2021-03-31,100%
1231,2021-03-31,Deft,deokdam,2021-03-30,88.9%
1232,2021-03-31,deokdam,Deft,2021-03-30,11.1%
1233,2021-03-28,Prince,BAO,2021-03-27,
1234,2021-03-28,BAO,Prince,2021-03-27,
1235,2021-03-28,Teddy,Deft,2021-03-27,50%
1236,2021-03-28,Deft,Teddy,2021-03-27,50%
1237,2021-03-27,Hena,deokdam,2021-03-26,0%
1238,2021-03-27,deokdam,Hena,2021-03-26,100%
1239,2021-03-27,Ghost,Noah,2021-03-26,
1240,2021-03-27,Noah,Ghost,2021-03-26,
1241,2021-03-26,Prince,Bang,2021-03-25,
1242,2021-03-26,Bang,Prince,2021-03-25,
1243,2021-03-26,Ruler,BAO,2021-03-25,33.3%
1244,2021-03-25,Noah,deokdam,2021-03-24,0%
1245,2021-03-25,deokdam,Noah,2021-03-24,100%
1246,2021-03-25,Deft,Hena,2021-03-24,66.7%
1247,2021-03-25,Hena,Deft,2021-03-24,33.3%
1248,2021-03-21,Teddy,Bang,2021-03-20,25%
1249,2021-03-21,Bang,Teddy,2021-03-20,75%
1250,2021-03-21,Ghost,BAO,2021-03-20,100%
1251,2021-03-21,BAO,Ghost,2021-03-20,0%
1252,2021-03-20,Noah,Ruler,2021-03-19,
1253,2021-03-20,Ruler,Noah,2021-03-19,
1254,2021-03-20,Hena,Prince,2021-03-19,
1255,2021-03-20,Prince,Hena,2021-03-19,
1256,2021-03-19,BAO,Teddy,2021-03-18,
1257,2021-03-19,Teddy,BAO,2021-03-18,
1258,2021-03-19,deokdam,Bang,2021-03-18,33.3%
1259,2021-03-19,Bang,deokdam,2021-03-18,66.7%
1260,2021-03-18,Noah,Deft,2021-03-17,
1261,2021-03-18,Deft,HyBrid,2021-03-17,57.1%
1262,2021-03-18,Ruler,Ghost,2021-03-17,63.9%
1263,2021-03-18,Ghost,Ruler,2021-03-17,36.1%
1264,2021-03-14,deokdam,Ghost,2021-03-13,0%
1265,2021-03-14,Ghost,deokdam,2021-03-13,100%
1266,2021-03-14,Prince,Deft,2021-03-13,
1267,2021-03-14,Deft,Prince,2021-03-13,
1268,2021-03-13,Bang,Hena,2021-03-12,100%
1269,2021-03-13,Hena,Bang,2021-03-12,0%
1270,2021-03-13,Teddy,Ruler,2021-03-12,55.8%
1271,2021-03-13,Ruler,Teddy,2021-03-12,44.2%
1272,2021-03-12,deokdam,BAO,2021-03-11,50%
1273,2021-03-12,BAO,deokdam,2021-03-11,50%
1274,2021-03-12,Prince,HyBrid,2021-03-11,
1275,2021-03-12,HyBrid,Prince,2021-03-11,
1276,2021-03-11,Deft,Bang,2021-03-10,45.7%
1277,2021-03-11,Bang,Deft,2021-03-10,54.3%
1278,2021-03-11,Ghost,Hena,2021-03-10,0%
1279,2021-03-11,Hena,Ghost,2021-03-10,100%
1280,2021-03-07,Ruler,Deft,2021-03-06,37.7%
1281,2021-03-07,Deft,Ruler,2021-03-06,62.3%
1282,2021-03-07,Hena,BAO,2021-03-06,33.3%
1283,2021-03-07,BAO,Hena,2021-03-06,66.7%
1284,2021-03-06,HyBrid,Teddy,2021-03-05,0%
1285,2021-03-06,Teddy,HyBrid,2021-03-05,100%
1286,2021-03-06,Bang,Ghost,2021-03-05,65.2%
1287,2021-03-06,Ghost,Bang,2021-03-05,34.8%
1288,2021-03-05,Prince,Ruler,2021-03-04,
1289,2021-03-05,Ruler,Prince,2021-03-04,
1290,2021-03-05,deokdam,Deft,2021-03-04,14.3%
1291,2021-03-05,Deft,deokdam,2021-03-04,85.7%
1292,2021-03-04,Gumayusi,Hena,2021-03-03,100%
1293,2021-03-04,Hena,Gumayusi,2021-03-03,0%
1294,2021-03-04,HyBrid,BAO,2021-03-03,100%
1295,2021-03-04,BAO,HyBrid,2021-03-03,0%
1296,2021-02-28,deokdam,Prince,2021-02-27,
1297,2021-02-28,Prince,deokdam,2021-02-27,
1298,2021-02-28,Ruler,Bang,2021-02-27,50%
1299,2021-02-28,Bang,Ruler,2021-02-27,50%
1300,2021-02-27,Teddy,Ghost,2021-02-26,39.5%
1301,2021-02-27,Ghost,Teddy,2021-02-26,60.5%
1302,2021-02-27,Deft,BAO,2021-02-26,66.7%
1303,2021-02-27,BAO,Deft,2021-02-26,33.3%
1304,2021-02-26,HyBrid,Bang,2021-02-25,66.7%
1305,2021-02-26,Bang,HyBrid,2021-02-25,33.3%
1306,2021-02-26,Ruler,Hena,2021-02-25,100%
1307,2021-02-26,Hena,Ruler,2021-02-25,0%
1308,2021-02-25,Prince,Ghost,2021-02-24,
1309,2021-02-25,Ghost,Prince,2021-02-24,
1310,2021-02-25,Teddy,deokdam,2021-02-24,50%
1311,2021-02-25,deokdam,Teddy,2021-02-24,50%
1312,2021-02-21,Teddy,Prince,2021-02-20,
1313,2021-02-21,Prince,Teddy,2021-02-20,
1314,2021-02-21,Bang,BAO,2021-02-20,25%
1315,2021-02-21,BAO,Bang,2021-02-20,75%
1316,2021-02-20,Deft,Ghost,2021-02-19,55.4%
1317,2021-02-20,Ghost,Deft,2021-02-19,44.6%
1318,2021-02-20,Ruler,deokdam,2021-02-19,100%
1319,2021-02-20,deokdam,Ruler,2021-02-19,0%
1320,2021-02-19,Hena,HyBrid,2021-02-18,80%
1321,2021-02-19,HyBrid,Hena,2021-02-18,20%
1322,2021-02-19,BAO,Gumayusi,2021-02-18,
1323,2021-02-19,Gumayusi,BAO,2021-02-18,
1324,2021-02-18,Ruler,Bang,2021-02-17,47.4%
1325,2021-02-18,Bang,Ruler,2021-02-17,52.6%
1326,2021-02-18,deokdam,Deft,2021-02-17,0%
1327,2021-02-18,Deft,deokdam,2021-02-17,100%
1328,2021-02-17,Route,Hena,2021-02-16,
1329,2021-02-17,Hena,Route,2021-02-16,
