,date,team1,team2,daybefore,winrate
0,2021-08-29,T1,DWG KIA,2021-08-28,38.5%
1,2021-08-29,DWG KIA,T1,2021-08-28,61.5%
2,2021-08-22,Gen.G eSports,T1,2021-08-21,36.7%
3,2021-08-22,T1,Gen.G eSports,2021-08-21,63.3%
4,2021-08-21,NS RED FORCE,DWG KIA,2021-08-20,22.2%
5,2021-08-21,DWG KIA,NS RED FORCE,2021-08-20,77.8%
6,2021-08-19,Liiv Sandbox,T1,2021-08-18,35.3%
7,2021-08-19,T1,Liiv Sandbox,2021-08-18,64.7%
8,2021-08-18,Afreeca Freecs,NS RED FORCE,2021-08-17,53.3%
9,2021-08-18,NS RED FORCE,Afreeca Freecs,2021-08-17,46.7%
10,2021-08-15,Gen.G eSports,NS RED FORCE,2021-08-14,92.3%
11,2021-08-15,T1,Hanwha Life Esports,2021-08-14,70.1%
12,2021-08-15,Hanwha Life Esports,T1,2021-08-14,29.9%
13,2021-08-14,Afreeca Freecs,kt Rolster,2021-08-13,50%
14,2021-08-14,kt Rolster,Afreeca Freecs,2021-08-13,50%
15,2021-08-14,DWG KIA,Liiv Sandbox,2021-08-13,70.6%
16,2021-08-13,DRX,NS RED FORCE,2021-08-12,57.1%
17,2021-08-13,Gen.G eSports,Fredit BRION,2021-08-12,60.6%
18,2021-08-13,Fredit BRION,Gen.G eSports,2021-08-12,39.4%
19,2021-08-12,Liiv Sandbox,kt Rolster,2021-08-11,53.6%
20,2021-08-12,Hanwha Life Esports,Afreeca Freecs,2021-08-11,54%
21,2021-08-08,DRX,T1,2021-08-07,40.2%
22,2021-08-08,T1,DRX,2021-08-07,59.8%
23,2021-08-08,DWG KIA,Gen.G eSports,2021-08-07,58.1%
24,2021-08-07,Liiv Sandbox,Fredit BRION,2021-08-06,33.3%
25,2021-08-07,Fredit BRION,Liiv Sandbox,2021-08-06,66.7%
26,2021-08-07,NS RED FORCE,Afreeca Freecs,2021-08-06,53.8%
27,2021-08-06,T1,Gen.G eSports,2021-08-05,63.2%
28,2021-08-06,Gen.G eSports,T1,2021-08-05,36.8%
29,2021-08-06,DRX,kt Rolster,2021-08-05,48.6%
30,2021-08-06,kt Rolster,DRX,2021-08-05,51.4%
31,2021-08-05,Hanwha Life Esports,Liiv Sandbox,2021-08-04,24%
32,2021-08-05,Liiv Sandbox,Hanwha Life Esports,2021-08-04,76%
33,2021-08-05,Fredit BRION,DWG KIA,2021-08-04,41.7%
34,2021-08-01,kt Rolster,DWG KIA,2021-07-31,27.6%
35,2021-08-01,DWG KIA,kt Rolster,2021-07-31,72.4%
36,2021-08-01,Hanwha Life Esports,NS RED FORCE,2021-07-31,63.6%
37,2021-08-01,NS RED FORCE,Hanwha Life Esports,2021-07-31,36.4%
38,2021-07-31,Afreeca Freecs,DRX,2021-07-30,37.8%
39,2021-07-31,DRX,Afreeca Freecs,2021-07-30,62.2%
40,2021-07-31,T1,Fredit BRION,2021-07-30,76.5%
41,2021-07-31,Fredit BRION,T1,2021-07-30,23.5%
42,2021-07-30,kt Rolster,Gen.G eSports,2021-07-29,59.3%
43,2021-07-30,NS RED FORCE,Liiv Sandbox,2021-07-29,65%
44,2021-07-30,Liiv Sandbox,NS RED FORCE,2021-07-29,35%
45,2021-07-29,Hanwha Life Esports,DRX,2021-07-28,51.6%
46,2021-07-29,DRX,Hanwha Life Esports,2021-07-28,48.4%
47,2021-07-29,DWG KIA,Afreeca Freecs,2021-07-28,80%
48,2021-07-29,Afreeca Freecs,DWG KIA,2021-07-28,20%
49,2021-07-25,Hanwha Life Esports,Fredit BRION,2021-07-24,72.5%
50,2021-07-25,Fredit BRION,Hanwha Life Esports,2021-07-24,27.5%
51,2021-07-25,Gen.G eSports,Afreeca Freecs,2021-07-24,64.1%
52,2021-07-25,Afreeca Freecs,Gen.G eSports,2021-07-24,35.9%
53,2021-07-24,T1,Liiv Sandbox,2021-07-23,67.7%
54,2021-07-24,DRX,DWG KIA,2021-07-23,47.9%
55,2021-07-24,DWG KIA,DRX,2021-07-23,52.1%
56,2021-07-23,NS RED FORCE,Fredit BRION,2021-07-22,66.7%
57,2021-07-23,Fredit BRION,NS RED FORCE,2021-07-22,33.3%
58,2021-07-23,Hanwha Life Esports,kt Rolster,2021-07-22,52.9%
59,2021-07-22,T1,Afreeca Freecs,2021-07-21,51.4%
60,2021-07-22,Afreeca Freecs,T1,2021-07-21,48.6%
61,2021-07-22,Liiv Sandbox,Gen.G eSports,2021-07-21,37%
62,2021-07-22,Gen.G eSports,Liiv Sandbox,2021-07-21,63%
63,2021-07-18,NS RED FORCE,kt Rolster,2021-07-17,68.8%
64,2021-07-18,Fredit BRION,DRX,2021-07-17,43.8%
65,2021-07-18,DRX,Fredit BRION,2021-07-17,56.3%
66,2021-07-17,T1,DWG KIA,2021-07-16,36.1%
67,2021-07-17,Gen.G eSports,Hanwha Life Esports,2021-07-16,51.4%
68,2021-07-17,Hanwha Life Esports,Gen.G eSports,2021-07-16,48.6%
69,2021-07-16,DRX,Liiv Sandbox,2021-07-15,57.6%
70,2021-07-16,Afreeca Freecs,Fredit BRION,2021-07-15,71.9%
71,2021-07-16,Fredit BRION,Afreeca Freecs,2021-07-15,28.1%
72,2021-07-15,DWG KIA,NS RED FORCE,2021-07-14,86.7%
73,2021-07-15,kt Rolster,T1,2021-07-14,34.4%
74,2021-07-11,T1,NS RED FORCE,2021-07-10,58.3%
75,2021-07-11,NS RED FORCE,T1,2021-07-10,41.7%
76,2021-07-11,DRX,Gen.G eSports,2021-07-10,44%
77,2021-07-10,Hanwha Life Esports,DWG KIA,2021-07-09,21.2%
78,2021-07-10,Fredit BRION,kt Rolster,2021-07-09,39.4%
79,2021-07-10,kt Rolster,Fredit BRION,2021-07-09,60.6%
80,2021-07-09,Afreeca Freecs,Liiv Sandbox,2021-07-08,50%
81,2021-07-09,Liiv Sandbox,Afreeca Freecs,2021-07-08,50%
82,2021-07-09,T1,Gen.G eSports,2021-07-08,62.4%
83,2021-07-08,DRX,Fredit BRION,2021-07-07,55.2%
84,2021-07-08,Fredit BRION,DRX,2021-07-07,44.8%
85,2021-07-08,Hanwha Life Esports,kt Rolster,2021-07-07,52.4%
86,2021-07-08,kt Rolster,Hanwha Life Esports,2021-07-07,47.6%
87,2021-07-07,Afreeca Freecs,NS RED FORCE,2021-07-06,54.5%
88,2021-07-07,Liiv Sandbox,DWG KIA,2021-07-06,31.3%
89,2021-07-04,DWG KIA,Gen.G eSports,2021-07-03,55.2%
90,2021-07-04,Gen.G eSports,DWG KIA,2021-07-03,44.8%
91,2021-07-04,NS RED FORCE,Hanwha Life Esports,2021-07-03,36.8%
92,2021-07-04,Hanwha Life Esports,NS RED FORCE,2021-07-03,63.2%
93,2021-07-03,Liiv Sandbox,DRX,2021-07-02,40%
94,2021-07-03,T1,Afreeca Freecs,2021-07-02,52.1%
95,2021-07-03,Afreeca Freecs,T1,2021-07-02,47.9%
96,2021-07-02,kt Rolster,Fredit BRION,2021-07-01,58.1%
97,2021-07-02,Fredit BRION,kt Rolster,2021-07-01,41.9%
98,2021-07-02,NS RED FORCE,DWG KIA,2021-07-01,0%
99,2021-07-01,Liiv Sandbox,Afreeca Freecs,2021-06-30,48.3%
100,2021-07-01,Afreeca Freecs,Liiv Sandbox,2021-06-30,51.7%
101,2021-07-01,DRX,Hanwha Life Esports,2021-06-30,50%
102,2021-07-01,Hanwha Life Esports,DRX,2021-06-30,50%
103,2021-06-30,Fredit BRION,Gen.G eSports,2021-06-29,40%
104,2021-06-30,Gen.G eSports,Fredit BRION,2021-06-29,60%
105,2021-06-30,kt Rolster,T1,2021-06-29,34.4%
106,2021-06-30,T1,kt Rolster,2021-06-29,65.6%
107,2021-06-27,kt Rolster,Liiv Sandbox,2021-06-26,48%
108,2021-06-27,Liiv Sandbox,kt Rolster,2021-06-26,52%
109,2021-06-27,DRX,T1,2021-06-26,41.3%
110,2021-06-26,NS RED FORCE,Fredit BRION,2021-06-25,100%
111,2021-06-26,Afreeca Freecs,Gen.G eSports,2021-06-25,36.8%
112,2021-06-25,DWG KIA,Hanwha Life Esports,2021-06-24,80%
113,2021-06-25,DRX,kt Rolster,2021-06-24,50%
114,2021-06-25,kt Rolster,DRX,2021-06-24,50%
115,2021-06-24,T1,NS RED FORCE,2021-06-23,70%
116,2021-06-24,Liiv Sandbox,Gen.G eSports,2021-06-23,37.5%
117,2021-06-23,Fredit BRION,DWG KIA,2021-06-22,33.3%
118,2021-06-23,DWG KIA,Fredit BRION,2021-06-22,66.7%
119,2021-06-23,Afreeca Freecs,Hanwha Life Esports,2021-06-22,44.3%
120,2021-06-23,Hanwha Life Esports,Afreeca Freecs,2021-06-22,55.7%
121,2021-06-20,Hanwha Life Esports,Fredit BRION,2021-06-19,73%
122,2021-06-20,Fredit BRION,Hanwha Life Esports,2021-06-19,27%
123,2021-06-20,T1,Liiv Sandbox,2021-06-19,72.4%
124,2021-06-20,Liiv Sandbox,T1,2021-06-19,27.6%
125,2021-06-19,kt Rolster,Afreeca Freecs,2021-06-18,50.7%
126,2021-06-19,Afreeca Freecs,kt Rolster,2021-06-18,49.3%
127,2021-06-19,DRX,DWG KIA,2021-06-18,50%
128,2021-06-19,DWG KIA,DRX,2021-06-18,50%
129,2021-06-18,NS RED FORCE,Gen.G eSports,2021-06-17,0%
130,2021-06-18,Hanwha Life Esports,Liiv Sandbox,2021-06-17,26.1%
131,2021-06-18,Liiv Sandbox,Hanwha Life Esports,2021-06-17,73.9%
132,2021-06-17,Afreeca Freecs,DWG KIA,2021-06-16,21.7%
133,2021-06-17,DWG KIA,Afreeca Freecs,2021-06-16,78.3%
134,2021-06-17,Fredit BRION,T1,2021-06-16,25%
135,2021-06-17,T1,Fredit BRION,2021-06-16,75%
136,2021-06-16,kt Rolster,Gen.G eSports,2021-06-15,60.2%
137,2021-06-16,NS RED FORCE,DRX,2021-06-15,36.4%
138,2021-06-16,DRX,NS RED FORCE,2021-06-15,63.6%
139,2021-06-13,Afreeca Freecs,DRX,2021-06-12,36.3%
140,2021-06-13,DRX,Afreeca Freecs,2021-06-12,63.8%
141,2021-06-13,DWG KIA,kt Rolster,2021-06-12,77.8%
142,2021-06-13,kt Rolster,DWG KIA,2021-06-12,22.2%
143,2021-06-12,Hanwha Life Esports,Gen.G eSports,2021-06-11,50%
144,2021-06-12,Liiv Sandbox,NS RED FORCE,2021-06-11,35.3%
145,2021-06-12,NS RED FORCE,Liiv Sandbox,2021-06-11,64.7%
146,2021-06-11,DWG KIA,T1,2021-06-10,63.6%
147,2021-06-11,T1,DWG KIA,2021-06-10,36.4%
148,2021-06-11,Fredit BRION,Afreeca Freecs,2021-06-10,27.6%
149,2021-06-11,Afreeca Freecs,Fredit BRION,2021-06-10,72.4%
150,2021-06-10,Gen.G eSports,DRX,2021-06-09,55.6%
151,2021-06-10,DRX,Gen.G eSports,2021-06-09,44.4%
152,2021-06-10,kt Rolster,NS RED FORCE,2021-06-09,30.8%
153,2021-06-10,NS RED FORCE,kt Rolster,2021-06-09,69.2%
154,2021-06-09,Hanwha Life Esports,T1,2021-06-08,30.6%
155,2021-06-09,T1,Hanwha Life Esports,2021-06-08,69.4%
156,2021-06-09,Liiv Sandbox,Fredit BRION,2021-06-08,50%
157,2021-06-09,Fredit BRION,Liiv Sandbox,2021-06-08,50%
158,2021-04-11,Gen.G eSports,DWG KIA,2021-04-10,50%
159,2021-04-11,DWG KIA,Gen.G eSports,2021-04-10,50%
160,2021-04-04,T1,Gen.G eSports,2021-04-03,64.4%
161,2021-04-04,Gen.G eSports,T1,2021-04-03,35.6%
162,2021-04-03,DWG KIA,Hanwha Life Esports,2021-04-02,77.8%
163,2021-04-03,Hanwha Life Esports,DWG KIA,2021-04-02,22.2%
164,2021-04-01,DRX,T1,2021-03-31,42.1%
165,2021-04-01,T1,DRX,2021-03-31,57.9%
166,2021-03-31,Hanwha Life Esports,NS RED FORCE,2021-03-30,64.3%
167,2021-03-31,NS RED FORCE,Hanwha Life Esports,2021-03-30,35.7%
168,2021-03-28,Liiv Sandbox,DRX,2021-03-27,37%
169,2021-03-28,DRX,Liiv Sandbox,2021-03-27,63%
170,2021-03-28,T1,Hanwha Life Esports,2021-03-27,68.7%
171,2021-03-28,Hanwha Life Esports,T1,2021-03-27,31.3%
172,2021-03-27,Fredit BRION,NS RED FORCE,2021-03-26,0%
173,2021-03-27,NS RED FORCE,Fredit BRION,2021-03-26,100%
174,2021-03-27,DWG KIA,kt Rolster,2021-03-26,79.2%
175,2021-03-27,kt Rolster,DWG KIA,2021-03-26,20.8%
176,2021-03-26,Liiv Sandbox,Afreeca Freecs,2021-03-25,51.9%
177,2021-03-26,Afreeca Freecs,Liiv Sandbox,2021-03-25,48.1%
178,2021-03-26,Gen.G eSports,DRX,2021-03-25,54.4%
179,2021-03-25,kt Rolster,NS RED FORCE,2021-03-24,20%
180,2021-03-25,NS RED FORCE,kt Rolster,2021-03-24,80%
181,2021-03-25,Hanwha Life Esports,Fredit BRION,2021-03-24,71.4%
182,2021-03-25,Fredit BRION,Hanwha Life Esports,2021-03-24,28.6%
183,2021-03-21,T1,Afreeca Freecs,2021-03-20,51.5%
184,2021-03-21,Afreeca Freecs,T1,2021-03-20,48.5%
185,2021-03-21,DWG KIA,DRX,2021-03-20,47.7%
186,2021-03-21,DRX,DWG KIA,2021-03-20,52.3%
187,2021-03-20,kt Rolster,Gen.G eSports,2021-03-19,61.2%
188,2021-03-20,Gen.G eSports,kt Rolster,2021-03-19,38.8%
189,2021-03-20,Fredit BRION,Liiv Sandbox,2021-03-19,100%
190,2021-03-20,Liiv Sandbox,Fredit BRION,2021-03-19,0%
191,2021-03-19,DRX,T1,2021-03-18,43.2%
192,2021-03-19,T1,DRX,2021-03-18,56.8%
193,2021-03-19,NS RED FORCE,Afreeca Freecs,2021-03-18,33.3%
194,2021-03-19,Afreeca Freecs,NS RED FORCE,2021-03-18,66.7%
195,2021-03-18,kt Rolster,Hanwha Life Esports,2021-03-17,48.8%
196,2021-03-18,Hanwha Life Esports,kt Rolster,2021-03-17,51.3%
197,2021-03-18,Gen.G eSports,DWG KIA,2021-03-17,47.8%
198,2021-03-18,DWG KIA,Gen.G eSports,2021-03-17,52.2%
199,2021-03-14,NS RED FORCE,DWG KIA,2021-03-13,0%
200,2021-03-14,DWG KIA,NS RED FORCE,2021-03-13,100%
201,2021-03-14,Liiv Sandbox,Hanwha Life Esports,2021-03-13,80%
202,2021-03-14,Hanwha Life Esports,Liiv Sandbox,2021-03-13,20%
203,2021-03-13,Afreeca Freecs,Fredit BRION,2021-03-12,77.8%
204,2021-03-13,Fredit BRION,Afreeca Freecs,2021-03-12,22.2%
205,2021-03-13,T1,Gen.G eSports,2021-03-12,63.6%
206,2021-03-13,Gen.G eSports,T1,2021-03-12,36.4%
207,2021-03-12,NS RED FORCE,DRX,2021-03-11,25%
208,2021-03-12,DRX,NS RED FORCE,2021-03-11,75%
209,2021-03-12,Liiv Sandbox,kt Rolster,2021-03-11,47.8%
210,2021-03-12,kt Rolster,Liiv Sandbox,2021-03-11,52.2%
211,2021-03-11,Hanwha Life Esports,Afreeca Freecs,2021-03-10,54.2%
212,2021-03-11,Afreeca Freecs,Hanwha Life Esports,2021-03-10,45.8%
213,2021-03-11,DWG KIA,Fredit BRION,2021-03-10,57.1%
214,2021-03-11,Fredit BRION,DWG KIA,2021-03-10,42.9%
215,2021-03-07,Gen.G eSports,Hanwha Life Esports,2021-03-06,48.5%
216,2021-03-07,Hanwha Life Esports,Gen.G eSports,2021-03-06,51.5%
217,2021-03-07,Fredit BRION,DRX,2021-03-06,48.1%
218,2021-03-07,DRX,Fredit BRION,2021-03-06,51.9%
219,2021-03-06,kt Rolster,T1,2021-03-05,35.2%
220,2021-03-06,T1,kt Rolster,2021-03-05,64.8%
221,2021-03-06,Afreeca Freecs,DWG KIA,2021-03-05,23.8%
222,2021-03-06,DWG KIA,Afreeca Freecs,2021-03-05,76.2%
223,2021-03-05,Liiv Sandbox,Gen.G eSports,2021-03-04,31.8%
224,2021-03-05,Gen.G eSports,Liiv Sandbox,2021-03-04,68.2%
225,2021-03-05,NS RED FORCE,Hanwha Life Esports,2021-03-04,41.7%
226,2021-03-05,Hanwha Life Esports,NS RED FORCE,2021-03-04,58.3%
227,2021-03-04,T1,Fredit BRION,2021-03-03,80%
228,2021-03-04,Fredit BRION,T1,2021-03-03,20%
229,2021-03-04,kt Rolster,DRX,2021-03-03,50.8%
230,2021-03-04,DRX,kt Rolster,2021-03-03,49.2%
231,2021-02-28,NS RED FORCE,Liiv Sandbox,2021-02-27,60%
232,2021-02-28,Liiv Sandbox,NS RED FORCE,2021-02-27,40%
233,2021-02-28,Gen.G eSports,Afreeca Freecs,2021-02-27,63%
234,2021-02-28,Afreeca Freecs,Gen.G eSports,2021-02-27,37%
235,2021-02-27,T1,DWG KIA,2021-02-26,36.7%
236,2021-02-27,DWG KIA,T1,2021-02-26,63.3%
237,2021-02-27,Hanwha Life Esports,DRX,2021-02-26,48.3%
238,2021-02-27,DRX,Hanwha Life Esports,2021-02-26,51.7%
239,2021-02-26,kt Rolster,Afreeca Freecs,2021-02-25,52.2%
240,2021-02-26,Afreeca Freecs,kt Rolster,2021-02-25,47.8%
241,2021-02-26,Gen.G eSports,Fredit BRION,2021-02-25,59.3%
242,2021-02-26,Fredit BRION,Gen.G eSports,2021-02-25,40.7%
243,2021-02-25,Liiv Sandbox,DWG KIA,2021-02-24,33.3%
244,2021-02-25,DWG KIA,Liiv Sandbox,2021-02-24,66.7%
245,2021-02-25,T1,NS RED FORCE,2021-02-24,62.5%
246,2021-02-25,NS RED FORCE,T1,2021-02-24,37.5%
247,2021-02-21,T1,Liiv Sandbox,2021-02-20,70.4%
248,2021-02-21,Liiv Sandbox,T1,2021-02-20,29.6%
249,2021-02-21,Afreeca Freecs,DRX,2021-02-20,36.4%
250,2021-02-21,DRX,Afreeca Freecs,2021-02-20,63.6%
251,2021-02-20,Hanwha Life Esports,DWG KIA,2021-02-19,20.8%
252,2021-02-20,DWG KIA,Hanwha Life Esports,2021-02-19,79.2%
253,2021-02-20,Gen.G eSports,NS RED FORCE,2021-02-19,100%
254,2021-02-20,NS RED FORCE,Gen.G eSports,2021-02-19,0%
255,2021-02-19,Fredit BRION,kt Rolster,2021-02-18,44.8%
256,2021-02-19,kt Rolster,Fredit BRION,2021-02-18,55.2%
257,2021-02-19,DRX,T1,2021-02-18,42.3%
258,2021-02-19,T1,DRX,2021-02-18,57.7%
259,2021-02-18,Gen.G eSports,Afreeca Freecs,2021-02-17,62%
260,2021-02-18,Afreeca Freecs,Gen.G eSports,2021-02-17,38%
261,2021-02-18,NS RED FORCE,Hanwha Life Esports,2021-02-17,44.4%
262,2021-02-18,Hanwha Life Esports,NS RED FORCE,2021-02-17,55.6%
263,2021-02-17,Liiv Sandbox,Fredit BRION,2021-02-16,NAN%
264,2021-02-17,Fredit BRION,Liiv Sandbox,2021-02-16,NAN%
265,2021-02-17,kt Rolster,DWG KIA,2021-02-16,19%
266,2021-02-17,DWG KIA,kt Rolster,2021-02-16,81%
267,2021-02-07,DRX,DWG KIA,2021-02-06,54.8%
268,2021-02-07,DWG KIA,DRX,2021-02-06,45.2%
269,2021-02-07,Liiv Sandbox,Hanwha Life Esports,2021-02-06,77.8%
270,2021-02-07,Hanwha Life Esports,Liiv Sandbox,2021-02-06,22.2%
271,2021-02-06,kt Rolster,Afreeca Freecs,2021-02-05,51.5%
272,2021-02-06,Afreeca Freecs,kt Rolster,2021-02-05,48.5%
273,2021-02-06,Fredit BRION,T1,2021-02-05,21.4%
274,2021-02-06,T1,Fredit BRION,2021-02-05,78.6%
275,2021-02-05,NS RED FORCE,Gen.G eSports,2021-02-04,0%
276,2021-02-05,Gen.G eSports,NS RED FORCE,2021-02-04,100%
277,2021-02-05,DWG KIA,Liiv Sandbox,2021-02-04,64.3%
278,2021-02-05,Liiv Sandbox,DWG KIA,2021-02-04,35.7%
279,2021-02-04,Fredit BRION,kt Rolster,2021-02-03,42.3%
280,2021-02-04,kt Rolster,Fredit BRION,2021-02-03,57.7%
281,2021-02-04,Hanwha Life Esports,Afreeca Freecs,2021-02-03,53.6%
282,2021-02-04,Afreeca Freecs,Hanwha Life Esports,2021-02-03,46.4%
283,2021-02-03,Gen.G eSports,DRX,2021-02-02,55.3%
284,2021-02-03,DRX,Gen.G eSports,2021-02-02,44.7%
285,2021-02-03,T1,NS RED FORCE,2021-02-02,60%
286,2021-02-03,NS RED FORCE,T1,2021-02-02,40%
287,2021-01-31,kt Rolster,NS RED FORCE,2021-01-30,25%
288,2021-01-31,NS RED FORCE,kt Rolster,2021-01-30,75%
289,2021-01-31,T1,Afreeca Freecs,2021-01-30,53%
290,2021-01-31,Afreeca Freecs,T1,2021-01-30,47%
291,2021-01-30,Gen.G eSports,Liiv Sandbox,2021-01-29,65%
292,2021-01-30,Liiv Sandbox,Gen.G eSports,2021-01-29,35%
293,2021-01-30,Fredit BRION,DRX,2021-01-29,50%
294,2021-01-30,DRX,Fredit BRION,2021-01-29,50%
295,2021-01-29,Hanwha Life Esports,DWG KIA,2021-01-28,22.7%
296,2021-01-29,DWG KIA,Hanwha Life Esports,2021-01-28,77.3%
297,2021-01-29,Afreeca Freecs,NS RED FORCE,2021-01-28,57.1%
298,2021-01-29,NS RED FORCE,Afreeca Freecs,2021-01-28,42.9%
299,2021-01-28,Liiv Sandbox,T1,2021-01-27,32%
300,2021-01-28,T1,Liiv Sandbox,2021-01-27,68%
301,2021-01-28,kt Rolster,DRX,2021-01-27,49.2%
302,2021-01-28,DRX,kt Rolster,2021-01-27,50.8%
303,2021-01-27,DWG KIA,Gen.G eSports,2021-01-26,50%
304,2021-01-27,Gen.G eSports,DWG KIA,2021-01-26,50%
305,2021-01-27,Fredit BRION,Hanwha Life Esports,2021-01-26,30.3%
306,2021-01-27,Hanwha Life Esports,Fredit BRION,2021-01-26,69.7%
307,2021-01-24,Gen.G eSports,Hanwha Life Esports,2021-01-23,49.2%
308,2021-01-24,Hanwha Life Esports,Gen.G eSports,2021-01-23,50.8%
309,2021-01-24,kt Rolster,T1,2021-01-23,34.1%
310,2021-01-24,T1,kt Rolster,2021-01-23,65.9%
311,2021-01-23,NS RED FORCE,Fredit BRION,2021-01-22,NAN%
312,2021-01-23,Fredit BRION,NS RED FORCE,2021-01-22,NAN%
313,2021-01-23,DWG KIA,Afreeca Freecs,2021-01-22,73.7%
314,2021-01-23,Afreeca Freecs,DWG KIA,2021-01-22,26.3%
315,2021-01-22,DRX,Liiv Sandbox,2021-01-21,62.5%
316,2021-01-22,Liiv Sandbox,DRX,2021-01-21,37.5%
317,2021-01-22,kt Rolster,Hanwha Life Esports,2021-01-21,49.4%
318,2021-01-22,Hanwha Life Esports,kt Rolster,2021-01-21,50.6%
319,2021-01-21,Fredit BRION,DWG KIA,2021-01-20,20%
320,2021-01-21,DWG KIA,Fredit BRION,2021-01-20,80%
321,2021-01-21,T1,Gen.G eSports,2021-01-20,64.7%
322,2021-01-21,Gen.G eSports,T1,2021-01-20,35.3%
323,2021-01-20,DRX,NS RED FORCE,2021-01-19,80%
324,2021-01-20,NS RED FORCE,DRX,2021-01-19,20%
325,2021-01-20,Afreeca Freecs,Liiv Sandbox,2021-01-19,52%
326,2021-01-20,Liiv Sandbox,Afreeca Freecs,2021-01-19,48%
327,2021-01-17,Fredit BRION,Afreeca Freecs,2021-01-16,24%
328,2021-01-17,Afreeca Freecs,Fredit BRION,2021-01-16,76%
329,2021-01-17,DWG KIA,NS RED FORCE,2021-01-16,100%
330,2021-01-17,NS RED FORCE,DWG KIA,2021-01-16,0%
331,2021-01-16,Hanwha Life Esports,DRX,2021-01-15,47.4%
332,2021-01-16,DRX,Hanwha Life Esports,2021-01-15,52.6%
333,2021-01-16,kt Rolster,Liiv Sandbox,2021-01-15,47.6%
334,2021-01-16,Liiv Sandbox,kt Rolster,2021-01-15,52.4%
335,2021-01-15,DWG KIA,T1,2021-01-14,63%
336,2021-01-15,T1,DWG KIA,2021-01-14,37%
337,2021-01-15,Gen.G eSports,Fredit BRION,2021-01-14,56%
338,2021-01-15,Fredit BRION,Gen.G eSports,2021-01-14,44%
339,2021-01-14,DRX,Afreeca Freecs,2021-01-13,63.5%
340,2021-01-14,Afreeca Freecs,DRX,2021-01-13,36.5%
341,2021-01-14,NS RED FORCE,Liiv Sandbox,2021-01-13,58.3%
342,2021-01-14,Liiv Sandbox,NS RED FORCE,2021-01-13,41.7%
343,2021-01-13,T1,Hanwha Life Esports,2021-01-12,68.8%
344,2021-01-13,Hanwha Life Esports,T1,2021-01-12,31.3%
345,2021-01-13,kt Rolster,Gen.G eSports,2021-01-12,62.7%
346,2021-01-13,Gen.G eSports,kt Rolster,2021-01-12,37.3%
